vehicle_class,entrance_site,exit_site,percentage
4H,B1,19,0.00423617
4H,B1,B1,0
4H,B1,22,0.048546252
4H,B1,B3,0.831232009
4H,B1,21B,0.032079243
4H,B1,16H,0.000502809
4H,B1,20,0.002086659
4H,B1,B2,0.010207032
4H,B2,24,0.014541387
4H,B2,15,0.024049217
4H,B2,21,0
4H,B2,18,0
4H,B2,17,0.020134228
4H,B2,23,0.013982103
4H,B2,19,0.007829978
4H,B2,B1,0.377516779
4H,B2,22,0.085011186
4H,B2,B3,0.435123043
4H,B2,21B,0.015100671
4H,B2,16H,0
4H,B2,20,0.006711409
4H,B2,B2,0
4H,B3,24,0.055721341
4H,B3,15,0.045583572
4H,B3,21,0.007475955
4H,B3,18,0.007850273
4H,B3,17,0.103062126
4H,B3,23,0.028510528
4H,B3,19,0.011739017
4H,B3,B1,0.650688848
4H,B3,22,0.044897323
4H,B3,B3,0
4H,B3,21B,0.020473096
4H,B3,16H,0.002069145
4H,B3,20,0.016542761
4H,B3,B2,0.005386015
4L,15,24,0.279264764
4L,15,15,0
4L,15,21,0.038800473
4L,15,18,0.034739576
4L,15,17,0.408917533
4L,15,23,0.073375641
4L,15,19,0.067456925
4L,15,B1,0.014336446
4L,15,22,0.004603446
4L,15,B3,0.03143496
4L,15,21B,0.011212679
4L,15,16H,0
4L,15,20,0.034591609
4L,15,B2,0.001265948
4L,16,24,0.204295154
4L,16,15,0
4L,16,21,0.035242291
4L,16,18,0.071310573
4L,16,17,0.485682819
4L,16,23,0.048182819
4L,16,19,0.075165198
4L,16,B1,0.009636564
4L,16,22,0.003028634
4L,16,B3,0.014317181
4L,16,21B,0.010737885
4L,16,16H,0.00660793
4L,16,20,0.035792952
4L,16,B2,0
4L,17,24,0.173668513
4L,17,15,0.358351086
4L,17,21,0.053621645
4L,17,18,0.048061355
4L,17,17,0
4L,17,23,0.072241159
4L,17,19,0.121878994
4L,17,B1,0.016126971
4L,17,22,0.005432467
4L,17,B3,0.038836813
4L,17,21B,0.014230933
4L,17,16H,0.04011504
4L,17,20,0.056305922
4L,17,B2,0.001129101
4L,18,24,0.197519929
4L,18,15,0.136846767
4L,18,21,0.075996457
4L,18,18,0
4L,18,17,0.162444641
4L,18,23,0.080159433
4L,18,19,0.151727192
4L,18,B1,0.015323295
4L,18,22,0.010806023
4L,18,B3,0.033126661
4L,18,21B,0.027192205
4L,18,16H,0.024977857
4L,18,20,0.083348096
4L,18,B2,0.000531444
4L,19,24,0.155584284
4L,19,15,0.147096847
4L,19,21,0.067955708
4L,19,18,0.098982632
4L,19,17,0.23202743
4L,19,23,0.080827385
4L,19,19,0
4L,19,B1,0.018211455
4L,19,22,0.008768478
4L,19,B3,0.053791243
